,Unnamed: 0,address,building,unit,level,room,用户地址,楼,单元,层,房间
0,0,绿景公馆1866北区(a栋19e),a栋,,19,19e,绿景公馆1866北区 (A栋19E),a栋,,19,e
1,1,深圳市易美达科技发展有限公司,,,,,深圳市易美达科技发展有限公司,,,,
2,2,莱蒙水榭云上(1栋3107),1栋,,31,07,莱蒙水榭云上 (1栋3107),1栋,,31,3107
3,3,莱蒙·水榭春天-10栋(三期10栋10f),10栋,,10,10f,莱蒙·水榭春天-10栋 (三期10栋10F),10栋,,10,f
4,4,光雅园七巷-17号楼,17号楼,,,,光雅园七巷-17号楼,17号楼,,,
5,5,星河world二期-dd栋,dd栋,,,,星河WORLD二期-DD栋,d栋,,,
6,6,福心青年社区-a3栋(a3栋福星青年社区旁边一栋703),a3栋,,7,703,福心青年社区-A3栋 (A3栋福星青年社区旁边一栋703),a3栋,,7,703
7,7,星河worldcocopark-f栋(501房03b),f栋,,5,01房03b,星河WORLDCOCOPARK-F栋 (501房03B),f栋,,5,501
8,8,民乐科技园(民乐统建楼2栋1010),2栋,,10,1010,民乐科技园 (民乐统建楼2栋1010),2栋,,10,1010
9,9,大光勘(8巷6号501),,,5,501,大光勘 (8巷6号501),,,5,501
10,10,珠江旭景佳园二期(8b1303),,,13,03,珠江旭景佳园二期 (8B1303),8b,,13,1303
11,11,深圳市万众茶业有限公司万众茶城管理处(312),,,3,12,深圳市万众茶业有限公司万众茶城管理处 (312),,,3,312
12,12,卓越皇后道(6b21c),,,,,卓越皇后道 (6B21C),6b,,21,c
13,13,星河传奇·铂寓(三期a座2811),a座,,28,11,星河传奇·铂寓 (三期A座2811),a座,,28,2811
14,14,肖记烧烤(同辉路店)(b301(肖记烧烤旁铁门上三楼，301号房间)),,,3,301,肖记烧烤(同辉路店) (B301 (肖记烧烤旁铁门上三楼，301号房间)),,,3,301
15,15,指上芭蕾美甲美睫(龙华店)(指上芭蕾),,,,,指上芭蕾美甲美睫(龙华店) (指上芭蕾),,,,
16,16,深圳市拓普供应链有限公司(水库路2栋2楼212拓普供应链),2栋,212拓普供应链,2,,深圳市拓普供应链有限公司 (水库路2栋2楼212拓普供应链),2栋,,2楼,212
17,17,横岭5区(3栋602),3栋,,6,602,横岭5区 (3栋602),3栋,,6,602
18,18,坂田创意园-y3栋(y3-2e),y3栋,2e,,,坂田创意园-Y3栋 (Y3-2E),y3栋,,2,e
19,19,民乐翠园小区(民乐翠园13栋602),13栋,,6,602,民乐翠园小区 (民乐翠园13栋602),13栋,,6,602
