,tokens,tags
0,"['南', '景', '新', '村', '二', '区', '-', 'b', '1', '0', '栋', ' ', '(', '1', '2', '0', '4', '（', '打', '电', '话', '或', '发', '信', '息', '）', '敲', '门', '听', '不', '见', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'I-building', 'O', 'O', 'B-level', 'I-level', 'B-room', 'I-room', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"['城', '投', '·', '七', '里', '香', '榭', ' ', '(', '二', '栋', '二', '单', '元', '8', 'a', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-unit', 'I-unit', 'I-unit', 'B-level', 'B-room', 'O']"
2,"['星', '河', 'w', 'o', 'r', 'l', 'd', '1', '期', '-', 'b', '座', ' ', '(', '3', '0', '楼', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-level', 'I-level', 'I-level', 'O']"
3,"['悦', '龙', '华', '府', '二', '期', '-', '8', '号', '楼']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building']"
4,"['民', '乐', '新', '村', '6', '5', '栋', ' ', '(', '6', '5', '栋', '3', '0', '6', ')']","['O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'O', 'O', 'B-building', 'I-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
5,"['民', '乐', '一', '区', '-', '3', '5', '号', '楼', ' ', '(', '深', '圳', '市', '龙', '华', '区', '民', '乐', '一', '区', '3', '5', '栋', '6', '1', '0', '室', ')']","['O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'I-building', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'B-level', 'B-room', 'I-room', 'I-room', 'O']"
6,"['坂', '田', '集', '团', '商', '务', '中', '心', ' ', '(', '9', '0', '8', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'B-room', 'I-room', 'O']"
7,"['绿', '景', '公', '馆', '1', '8', '6', '6', '南', '区', ' ', '(', 'f', '栋', '8', 'a', ')']","['O', 'O', 'O', 'O', 'O', 'B-level', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'B-room', 'O']"
8,"['潜', '龙', '曼', '海', '宁', '广', '场', '-', '办', '公', '楼', ' ', '(', '1', '6', ' ', ' ', '2', 'd', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-level', 'B-room', 'O']"
9,"['长', '城', '里', '程', '家', '园', ' ', '(', '龙', '塘', '社', '区', '工', '作', '站', '1', '0', '6', '（', '沙', '县', '小', '吃', '旁', '）', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'B-room', 'I-room', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
